cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.12404571103418843,0.41059320024657403,0.2577647114609512,0.2075963772582863
1,0.11578635717669351,0.2530554239696826,0.2998815727143534,0.3312766461392705
2,0.2774006916836355,0.1356863505607809,0.3947606580691037,0.19215229968647984
3,0.09518937354155448,0.33426673846706156,0.27806497935738644,0.2924789086339975
4,0.09435724770830553,0.46534999024810864,0.3277251403759098,0.11256762166767607
5,0.10166429499474107,0.2466745034956382,0.3895687681742251,0.26209243333539567
6,0.1108192085464416,0.39581405903608147,0.11438895386387837,0.37897777855359854
7,0.40647242382805654,0.21191402825987868,0.10167946425440903,0.27993408365765576
8,0.17459361830222758,0.21183917210407277,0.31203931203931207,0.30152789755438764
9,0.2525192998998173,0.2098532618303966,0.25599622841652425,0.28163120985326184
10,0.19148936170212766,0.24468085106382978,0.02127659574468085,0.5425531914893617
