cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.11423462799245059,0.43359491407569284,0.28330187742127744,0.16886858051057912
1,0.06826686444392004,0.36014563597748034,0.3005764757441931,0.2710110238344065
2,0.2528300184909575,0.3043341000315699,0.27429756911559106,0.16853831236188158
3,0.10136173039398846,0.28212313696184665,0.3521609166770457,0.26435421596711917
4,0.13540100519781778,0.33027621461402984,0.10129301086816445,0.433029769319988
5,0.10560612843854152,0.4256578620106452,0.27339203104014326,0.19534397851067004
6,0.10831948662121126,0.4098435799003037,0.3973528906205237,0.08448404285796138
7,0.11256627364089578,0.24014797815937328,0.34056738149877347,0.3067183667009575
8,0.11802030456852793,0.31270528515974916,0.3446551209316214,0.22461928934010153
9,0.1484003597584479,0.22966722343569318,0.398882179108313,0.22305023769754592
10,0.046624837732583295,0.09086975335352661,0.7904586758978797,0.07204673301601039
11,0.1389806512505899,0.2998761208117036,0.2196201038225578,0.3415231241151487
12,0.1754473161033797,0.19309145129224653,0.35462226640159045,0.2768389662027833
13,0.15061080593588588,0.15870022683173457,0.30914705801973164,0.3815419092126479
14,0.09934662422516334,0.2563243424359189,0.3015580499246105,0.34277098341430723
15,0.2583496180493871,0.16503819506128975,0.37693195949546987,0.19968022739385327
16,0.40566873339238263,0.220356606462048,0.09685369892555937,0.27712096122001
17,0.12152191734580702,0.2517721946279597,0.1853209239523557,0.4413849640738776
18,0.14279207469824642,0.16055568207697563,0.298792985652471,0.397859257572307
19,0.3320637943346822,0.1201142585098786,0.30235658176624614,0.24546536538919306
20,0.0674910791189861,0.21883843976867232,0.5881013904269718,0.12556909068536976
21,0.1116050538137576,0.4728591483387927,0.0991265013258462,0.3164092965216035
22,0.07796006613251939,0.36252066641231084,0.21569375556403408,0.3438255118911357
23,0.2716987802722291,0.20664663249071946,0.24323846561781864,0.2784161216192328
24,0.7325980392156862,0.004656862745098039,0.0642156862745098,0.19852941176470587
25,0.03489959056346267,0.7099239617859232,0.22335737960616103,0.03181906804445311
26,0.07974806650303339,0.5156763766035289,0.07131940906775344,0.33325614782568425
27,0.2,0.23,0.02,0.55
28,0.20634920634920634,0.20634920634920634,0.1746031746031746,0.4126984126984127
