cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.13554394299287412,0.3577577197149644,0.10225178147268409,0.4044465558194774
1,0.13130969781433768,0.3652061592848159,0.29375573608892214,0.20972840681192426
2,0.21673565937315198,0.31739461012080766,0.2931063614091408,0.17276336909689954
3,0.09020601664736853,0.2851899591462216,0.3551001682214406,0.2695038559849693
4,0.12570617538196088,0.35438176606462024,0.3660980157515376,0.15381404280188127
5,0.19709478524401713,0.0820879924757028,0.6189256975650538,0.10189152471522625
6,0.14472130740073325,0.32402286708506806,0.19629652644006712,0.33495929907413163
7,0.10487874933322391,0.4262443067580321,0.2537031718025522,0.2151737721061918
8,0.1567698922051218,0.1575176023428251,0.31777680852389556,0.36793569692815753
9,0.06218035983663858,0.36487729497038157,0.30744324662423195,0.2654990985687479
10,0.11326538898814358,0.2596231931135293,0.377375345135618,0.24973607276270912
11,0.40815610303923633,0.21197445076156385,0.10258299992980978,0.27728644626939003
12,0.23632953397778098,0.231965084403405,0.35142836531525035,0.1802770163035637
13,0.1201787459851976,0.24700460829493087,0.19340874179583856,0.43940790392403295
14,0.14243309679513938,0.16423171467000602,0.28709243541579704,0.40624275311905755
15,0.22896164521826898,0.175372192783245,0.39928715619480193,0.1963790058036841
16,0.05754482914176159,0.5808616217435435,0.3158903800609,0.04570316905379497
17,0.26753878916945545,0.20821417706114997,0.2449650136902951,0.27928202007909947
18,0.07862544483985764,0.4228202846975089,0.14957740213523132,0.34897686832740216
19,0.22641509433962265,0.2169811320754717,0.018867924528301886,0.5377358490566038
20,0.20634920634920634,0.20634920634920634,0.1746031746031746,0.4126984126984127
