leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p9,D142_RLL_5B1_8,0,7133,0.07787798060966024,0.13554394299287412,#A6CEE3
scvi_leiden_0p9,D142_RLL_5B1_8,1,3863,0.04217617259149271,0.13130969781433768,#1F78B4
scvi_leiden_0p9,D142_RLL_5B1_8,2,5131,0.05602017643462311,0.21673565937315198,#B2DF8A
scvi_leiden_0p9,D142_RLL_5B1_8,3,4129,0.04508035636300114,0.09020601664736853,#33A02C
scvi_leiden_0p9,D142_RLL_5B1_8,4,4517,0.04931653419512621,0.12570617538196088,#FB9A99
scvi_leiden_0p9,D142_RLL_5B1_8,5,3772,0.04118263603808193,0.19709478524401713,#E31A1C
scvi_leiden_0p9,D142_RLL_5B1_8,6,4658,0.050855969953707746,0.14472130740073325,#FDBF6F
scvi_leiden_0p9,D142_RLL_5B1_8,7,2556,0.02790636736832911,0.10487874933322391,#FF7F00
scvi_leiden_0p9,D142_RLL_5B1_8,8,5032,0.054939296008385013,0.1567698922051218,#CAB2D6
scvi_leiden_0p9,D142_RLL_5B1_8,9,1690,0.018451393134771597,0.06218035983663858,#6A3D9A
scvi_leiden_0p9,D142_RLL_5B1_8,10,5579,0.060911433312953095,0.11326538898814358,#FFFF99
scvi_leiden_0p9,D142_RLL_5B1_8,11,11630,0.12697615512271815,0.40815610303923633,#B15928
scvi_leiden_0p9,D142_RLL_5B1_8,12,6552,0.07153463184557603,0.23632953397778098,#1FF8FF
scvi_leiden_0p9,D142_RLL_5B1_8,13,4303,0.04698008559699537,0.1201787459851976,#1B9E77
scvi_leiden_0p9,D142_RLL_5B1_8,14,3071,0.03352912918158791,0.14243309679513938,#D95F02
scvi_leiden_0p9,D142_RLL_5B1_8,15,7259,0.07925364660669054,0.22896164521826898,#7570B3
scvi_leiden_0p9,D142_RLL_5B1_8,16,2041,0.02228360555507031,0.05754482914176159,#E7298A
scvi_leiden_0p9,D142_RLL_5B1_8,17,4397,0.048006376102716394,0.26753878916945545,#66A61E
