cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.13803190584713765,0.35007993469165616,0.2962345658015579,0.21565359365964828
1,0.12938560704960836,0.3280230091383812,0.3798751631853786,0.16271622062663185
2,0.09046923658884178,0.26479230078997834,0.40728750637788763,0.2374509562432922
3,0.21978560156717636,0.22936279044457747,0.34343654205437957,0.2074150659338666
4,0.04141438604989101,0.08319205618793897,0.8012836037781546,0.0741099539840155
5,0.4083244775061991,0.21229188806234503,0.10223166843783209,0.2771519659936238
6,0.1337562710694662,0.3014891301462586,0.28142170785443155,0.28333289092984365
7,0.11895381494772976,0.22903339054454674,0.36374629427367766,0.2882665002340459
8,0.09672364672364672,0.43081671415004746,0.2644824311490978,0.20797720797720798
9,0.12939312463990782,0.19046475897829845,0.2706452851930094,0.4094968311887843
10,0.1311236475248204,0.38189955246146196,0.09904147876335329,0.3879353212503644
11,0.1404486706560647,0.3011995518758368,0.2236248872858431,0.3347268901822554
12,0.0682672837720567,0.2722013306334973,0.2668498698293318,0.3926815157651143
13,0.13005976879853978,0.23288357610679647,0.18657170466339787,0.4504849504312659
14,0.115738555922605,0.36225814063237377,0.4339310995752714,0.08807220386974988
15,0.27219465534764153,0.20613379565971185,0.24451485622048186,0.27715669277216476
16,0.3474847879604255,0.11040921547679873,0.29388266988712897,0.2482233266756468
17,0.040998340707964605,0.6657217920353983,0.25642975663716816,0.03685011061946902
18,0.08004758004758004,0.3997503997503998,0.15633165633165633,0.36387036387036387
19,0.20634920634920634,0.20634920634920634,0.1746031746031746,0.4126984126984127
