cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.12014589143960523,0.19669598798541085,0.5081742115425875,0.1749839090323965
1,0.0872198760827348,0.2480194815202984,0.4333559384729201,0.23140470392404672
2,0.12425721049326055,0.406589690323204,0.25469829460360405,0.2144548045799314
3,0.14144169647682528,0.3019018452273722,0.22075816455207556,0.335898293743727
4,0.07505235791146096,0.5423196360222431,0.3250884668159168,0.05753953925037914
5,0.06891664215227448,0.35164335570828764,0.30930922900008023,0.2701307731393576
6,0.4075025158760454,0.21199292084533436,0.10396640871707673,0.2765381545615435
7,0.134775136064165,0.3710175371590439,0.10048060091027722,0.3937267258665139
8,0.11766306364243488,0.2617304410200599,0.3395335031784115,0.2810729921590937
9,0.1798851730915056,0.2133583001903465,0.3097850477413764,0.29697147897677156
10,0.10708715993761914,0.39611852365274647,0.2960925316236354,0.20070178478599895
11,0.3032806169128219,0.15080381649457586,0.3278787086655339,0.21803685792706837
12,0.48828362751065124,0.0465611685940353,0.2851491174680463,0.1800060864272672
13,0.11502056016758476,0.2681356195205214,0.17204593063852897,0.44479788967336487
14,0.07503399048266485,0.46402673917969633,0.10194312259234081,0.358996147745298
15,0.2509190603775936,0.2092965293787775,0.2566515047666521,0.2831329054769768
16,0.18666666666666668,0.18666666666666668,0.17333333333333334,0.4533333333333333
17,0.24468085106382978,0.19148936170212766,0.3191489361702128,0.24468085106382978
18,0.20618556701030927,0.23711340206185566,0.020618556701030927,0.5360824742268041
