leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p2,D142_RLL_5B1_8,0,35429,0.3868132587998952,0.1656900204370823,#A6CEE3
scvi_leiden_0p2,D142_RLL_5B1_8,1,12286,0.13413835269455848,0.0994753376299511,#1F78B4
scvi_leiden_0p2,D142_RLL_5B1_8,2,14341,0.1565748100270766,0.10950170273200678,#B2DF8A
scvi_leiden_0p2,D142_RLL_5B1_8,3,8978,0.09802166128046118,0.09741753472222223,#33A02C
scvi_leiden_0p2,D142_RLL_5B1_8,4,6286,0.06863044807406761,0.31104953238656047,#FB9A99
scvi_leiden_0p2,D142_RLL_5B1_8,5,9666,0.1055332343436108,0.3830090739786821,#E31A1C
scvi_leiden_0p2,D142_RLL_5B1_8,6,4588,0.05009171106646869,0.2704710251724341,#FDBF6F
scvi_leiden_0p2,D142_RLL_5B1_8,7,18,0.0001965237138614726,0.19148936170212766,#FF7F00
scvi_leiden_0p2,D430_RLL_7A2_6,0,46223,0.24288266512532183,0.2161700814209618,#A6CEE3
scvi_leiden_0p2,D430_RLL_7A2_6,1,37611,0.1976301823340865,0.3045227839492179,#1F78B4
scvi_leiden_0p2,D430_RLL_7A2_6,2,51201,0.2690399873889969,0.390948795870684,#B2DF8A
scvi_leiden_0p2,D430_RLL_7A2_6,3,43299,0.22751825968157216,0.46982421875,#33A02C
scvi_leiden_0p2,D430_RLL_7A2_6,4,2731,0.014350270611108192,0.13513780988668414,#FB9A99
scvi_leiden_0p2,D430_RLL_7A2_6,5,5803,0.030492354579370502,0.22994016721480365,#E31A1C
scvi_leiden_0p2,D430_RLL_7A2_6,6,3419,0.01796542483316694,0.20155632847963215,#FDBF6F
scvi_leiden_0p2,D430_RLL_7A2_6,7,23,0.0001208554463769639,0.24468085106382978,#FF7F00
scvi_leiden_0p2,D327_RLL_4A2_6,0,75305,0.4337495824069488,0.352177227384755,#A6CEE3
scvi_leiden_0p2,D327_RLL_4A2_6,1,37857,0.21805269160321172,0.30651455776144054,#1F78B4
scvi_leiden_0p2,D327_RLL_4A2_6,2,17443,0.1004700081790639,0.13318723943618954,#B2DF8A
scvi_leiden_0p2,D327_RLL_4A2_6,3,29540,0.17014756874445608,0.3205295138888889,#33A02C
scvi_leiden_0p2,D327_RLL_4A2_6,4,6631,0.0381939244530971,0.3281211341481518,#FB9A99
scvi_leiden_0p2,D327_RLL_4A2_6,5,2604,0.014998790420127408,0.1031818361928914,#E31A1C
scvi_leiden_0p2,D327_RLL_4A2_6,6,4232,0.024375914384784637,0.2494841714319401,#FDBF6F
scvi_leiden_0p2,D327_RLL_4A2_6,7,2,1.1519808310389716e-05,0.02127659574468085,#FF7F00
scvi_leiden_0p2,D194_RLL_5A2_6,0,56870,0.33962782475753667,0.2659626707572009,#A6CEE3
scvi_leiden_0p2,D194_RLL_5A2_6,1,35754,0.21352300415651426,0.2894873206593905,#1F78B4
scvi_leiden_0p2,D194_RLL_5A2_6,2,47981,0.2865426878792222,0.3663622619611197,#B2DF8A
scvi_leiden_0p2,D194_RLL_5A2_6,3,10343,0.06176842960202571,0.11222873263888888,#33A02C
scvi_leiden_0p2,D194_RLL_5A2_6,4,4561,0.02723830681763891,0.2256915235786036,#FB9A99
scvi_leiden_0p2,D194_RLL_5A2_6,5,7164,0.042783431274186615,0.28386892261362284,#E31A1C
scvi_leiden_0p2,D194_RLL_5A2_6,6,4724,0.02821174334718838,0.27848847491599366,#FDBF6F
scvi_leiden_0p2,D194_RLL_5A2_6,7,51,0.00030457216568725815,0.5425531914893617,#FF7F00
