cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.12831607893885474,0.38506955677774185,0.2685619540601747,0.21805241022322872
1,0.21539234952698688,0.32032356839266946,0.3029112014990174,0.16137288058132626
2,0.08805236494959122,0.27318553443346544,0.3678336760796509,0.2709284245372925
3,0.06551616158101667,0.36835879057792004,0.2971364949027522,0.26898855293831114
4,0.06641256162737706,0.15192443137092432,0.6605211915316733,0.12114181547002527
5,0.10142772159428912,0.4507733491969066,0.3130081300813008,0.13479079912750347
6,0.12927076985577898,0.25309770465163517,0.17672151127361366,0.4409100142189722
7,0.09656218402426693,0.25522856686711726,0.3833218029907935,0.2648874461178224
8,0.13227990970654627,0.30100827689992476,0.4044243792325056,0.16228743416102331
9,0.14292046839791658,0.19966015293118097,0.29551919027741863,0.3619001883934838
10,0.4064351660465757,0.21096871985669008,0.1049676174727849,0.2776284966239493
11,0.3084265410814902,0.14477335800185015,0.3123370616432596,0.23446303927340004
12,0.13549065011383316,0.34365939561401804,0.09884999318946898,0.42199996108267984
13,0.14688803251860846,0.30974502454732616,0.21026236604550494,0.33310457688856043
14,0.09892443336564649,0.4270876609887827,0.26695286894705256,0.20703503669851822
15,0.1476673218164891,0.16132202337850418,0.2933433329885176,0.39766732181648906
16,0.057316763885366474,0.5625665736748668,0.3301547045396906,0.049961957900076084
17,0.2532314662639364,0.17194509838759828,0.36609958690534355,0.20872384844312175
18,0.07881479517433382,0.35887577886782446,0.21122232533474744,0.3510871006230943
19,0.2687422461156732,0.2068293259289892,0.24788798960241035,0.2765404383529273
20,0.08116974036884426,0.5368244189302717,0.07488898667840141,0.3071168540224827
21,0.7240899605842801,0.0048690006955715275,0.07581729654532808,0.1952237421748203
22,0.2,0.21904761904761905,0.01904761904761905,0.5619047619047619
23,0.20634920634920634,0.20634920634920634,0.1746031746031746,0.4126984126984127
