cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.1656900204370823,0.2161700814209618,0.352177227384755,0.2659626707572009
1,0.0994753376299511,0.3045227839492179,0.30651455776144054,0.2894873206593905
2,0.10950170273200678,0.390948795870684,0.13318723943618954,0.3663622619611197
3,0.09741753472222223,0.46982421875,0.3205295138888889,0.11222873263888888
4,0.31104953238656047,0.13513780988668414,0.3281211341481518,0.2256915235786036
5,0.3830090739786821,0.22994016721480365,0.1031818361928914,0.28386892261362284
6,0.2704710251724341,0.20155632847963215,0.2494841714319401,0.27848847491599366
7,0.19148936170212766,0.24468085106382978,0.02127659574468085,0.5425531914893617
