leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p8,D142_RLL_5B1_8,0,2300,0.025111363437854833,0.11423462799245059,#A6CEE3
scvi_leiden_0p8,D142_RLL_5B1_8,1,2025,0.02210891780941567,0.06826686444392004,#1F78B4
scvi_leiden_0p8,D142_RLL_5B1_8,2,5606,0.061206218883745306,0.2528300184909575,#B2DF8A
scvi_leiden_0p8,D142_RLL_5B1_8,3,4883,0.053312516376976156,0.10136173039398846,#33A02C
scvi_leiden_0p8,D142_RLL_5B1_8,4,6304,0.06882697178792907,0.13540100519781778,#FB9A99
scvi_leiden_0p8,D142_RLL_5B1_8,5,2123,0.023178880251550352,0.10560612843854152,#E31A1C
scvi_leiden_0p8,D142_RLL_5B1_8,6,3781,0.041280897895012665,0.10831948662121126,#FDBF6F
scvi_leiden_0p8,D142_RLL_5B1_8,7,5690,0.06212332954843218,0.11256627364089578,#FF7F00
scvi_leiden_0p8,D142_RLL_5B1_8,8,1581,0.017261332867499344,0.11802030456852793,#CAB2D6
scvi_leiden_0p8,D142_RLL_5B1_8,9,2310,0.025220543278888986,0.1484003597584479,#6A3D9A
scvi_leiden_0p8,D142_RLL_5B1_8,10,431,0.004705651148571927,0.046624837732583295,#FFFF99
scvi_leiden_0p8,D142_RLL_5B1_8,11,4712,0.05144554109529217,0.1389806512505899,#B15928
scvi_leiden_0p8,D142_RLL_5B1_8,12,1412,0.015416193554022186,0.1754473161033797,#1FF8FF
scvi_leiden_0p8,D142_RLL_5B1_8,13,5511,0.06016901039392086,0.15061080593588588,#1B9E77
scvi_leiden_0p8,D142_RLL_5B1_8,14,593,0.006474364573325181,0.09934662422516334,#D95F02
scvi_leiden_0p8,D142_RLL_5B1_8,15,5817,0.0635099135295659,0.2583496180493871,#7570B3
scvi_leiden_0p8,D142_RLL_5B1_8,16,10534,0.11501004454537514,0.40566873339238263,#E7298A
scvi_leiden_0p8,D142_RLL_5B1_8,17,2520,0.027513319940606167,0.12152191734580702,#66A61E
scvi_leiden_0p8,D142_RLL_5B1_8,18,1254,0.013691152065682593,0.14279207469824642,#E6AB02
scvi_leiden_0p8,D142_RLL_5B1_8,19,6975,0.07615293912132064,0.3320637943346822,#A6761D
scvi_leiden_0p8,D142_RLL_5B1_8,20,1097,0.011977028561446414,0.0674910791189861,#666666
scvi_leiden_0p8,D142_RLL_5B1_8,21,1431,0.015623635251987074,0.1116050538137576,#4B6A53
scvi_leiden_0p8,D142_RLL_5B1_8,22,2452,0.026770897021573935,0.07796006613251939,#B249D5
scvi_leiden_0p8,D142_RLL_5B1_8,23,4611,0.050342824700847236,0.2716987802722291,#7EDC45
