cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.0919215355410251,0.39717359206918373,0.3427968782957182,0.16810799409407298
1,0.10900971162237943,0.39517761313204464,0.1119993315135647,0.3838133437320112
2,0.09758088453547047,0.2971059661620659,0.2315523894330662,0.37376075986939744
3,0.10320247254553824,0.23685144999013613,0.38607220359045175,0.27387387387387385
4,0.12390463602095265,0.4114162627894453,0.2589709697948793,0.20570813139472266
5,0.11720332471886569,0.26288677795627574,0.36399036110917093,0.25591953621568764
6,0.13669402758201366,0.3085979603681287,0.22911311942072243,0.3255948926291352
7,0.18249926188367285,0.22342781222320637,0.3156739002066726,0.2783990256864482
8,0.28694537740852044,0.15414530669966414,0.34503712214954924,0.2138721937422662
9,0.09033689315379456,0.47001238198421297,0.35497600990558736,0.08467471495640509
10,0.25174767661814296,0.06012007566411712,0.5626285056336869,0.12550374208405296
11,0.4078277061448196,0.2111513192565787,0.10185152654323157,0.27916944805537014
12,0.271906272882597,0.204967049060288,0.24487429826702464,0.2782523797900903
13,0.1625,0.175,0.175,0.4875
14,0.24731182795698925,0.1827956989247312,0.3225806451612903,0.24731182795698925
15,0.20618556701030927,0.23711340206185566,0.020618556701030927,0.5360824742268041
