leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p7,D142_RLL_5B1_8,0,4058,0.04430517949165866,0.13803190584713765,#A6CEE3
scvi_leiden_0p7,D142_RLL_5B1_8,1,6343,0.06925277316796227,0.12938560704960836,#1F78B4
scvi_leiden_0p7,D142_RLL_5B1_8,2,5142,0.056140274259760675,0.09046923658884178,#B2DF8A
scvi_leiden_0p7,D142_RLL_5B1_8,3,12117,0.13229321338108133,0.21978560156717636,#33A02C
scvi_leiden_0p7,D142_RLL_5B1_8,4,342,0.0037339505633679796,0.04141438604989101,#FB9A99
scvi_leiden_0p7,D142_RLL_5B1_8,5,11527,0.12585160276006638,0.4083244775061991,#E31A1C
scvi_leiden_0p7,D142_RLL_5B1_8,6,5039,0.05501572189710892,0.1337562710694662,#FDBF6F
scvi_leiden_0p7,D142_RLL_5B1_8,7,6099,0.06658878504672897,0.11895381494772976,#FF7F00
scvi_leiden_0p7,D142_RLL_5B1_8,8,2037,0.02223993361865665,0.09672364672364672,#CAB2D6
scvi_leiden_0p7,D142_RLL_5B1_8,9,2695,0.029423967158703816,0.12939312463990782,#6A3D9A
scvi_leiden_0p7,D142_RLL_5B1_8,10,7647,0.08348982443881561,0.1311236475248204,#FFFF99
scvi_leiden_0p7,D142_RLL_5B1_8,11,5140,0.05611843829155385,0.1404486706560647,#B15928
scvi_leiden_0p7,D142_RLL_5B1_8,12,472,0.005153288496811949,0.0682672837720567,#1FF8FF
scvi_leiden_0p7,D142_RLL_5B1_8,13,3634,0.03967595423181064,0.13005976879853978,#1B9E77
scvi_leiden_0p7,D142_RLL_5B1_8,14,1962,0.021421084810900517,0.115738555922605,#D95F02
scvi_leiden_0p7,D142_RLL_5B1_8,15,4553,0.04970958162284916,0.27219465534764153,#7570B3
scvi_leiden_0p7,D142_RLL_5B1_8,16,7481,0.0816774390776487,0.3474847879604255,#E7298A
scvi_leiden_0p7,D142_RLL_5B1_8,17,1186,0.012948729146650363,0.040998340707964605,#66A61E
scvi_leiden_0p7,D142_RLL_5B1_8,18,4105,0.044818324744519175,0.08004758004758004,#E6AB02
scvi_leiden_0p7,D142_RLL_5B1_8,19,13,0.0001419337933443969,0.20634920634920634,#A6761D
scvi_leiden_0p7,D430_RLL_7A2_6,0,10292,0.054080184961378806,0.35007993469165616,#A6CEE3
scvi_leiden_0p7,D430_RLL_7A2_6,1,16081,0.08449897535599811,0.3280230091383812,#1F78B4
scvi_leiden_0p7,D430_RLL_7A2_6,2,15050,0.07908149860753508,0.26479230078997834,#B2DF8A
scvi_leiden_0p7,D430_RLL_7A2_6,3,12645,0.06644422258420472,0.22936279044457747,#33A02C
scvi_leiden_0p7,D430_RLL_7A2_6,4,687,0.0036098996374336607,0.08319205618793897,#FB9A99
scvi_leiden_0p7,D430_RLL_7A2_6,5,5993,0.03149072565813672,0.21229188806234503,#E31A1C
scvi_leiden_0p7,D430_RLL_7A2_6,6,11358,0.05968157217171983,0.3014891301462586,#FDBF6F
scvi_leiden_0p7,D430_RLL_7A2_6,7,11743,0.0617045872523777,0.22903339054454674,#FF7F00
scvi_leiden_0p7,D430_RLL_7A2_6,8,9073,0.047674846303399715,0.43081671415004746,#CAB2D6
scvi_leiden_0p7,D430_RLL_7A2_6,9,3967,0.02084493720771373,0.19046475897829845,#6A3D9A
scvi_leiden_0p7,D430_RLL_7A2_6,10,22272,0.11703010876990173,0.38189955246146196,#FFFF99
scvi_leiden_0p7,D430_RLL_7A2_6,11,11023,0.05792128632231622,0.3011995518758368,#B15928
scvi_leiden_0p7,D430_RLL_7A2_6,12,1882,0.009889128264410699,0.2722013306334973,#1FF8FF
scvi_leiden_0p7,D430_RLL_7A2_6,13,6507,0.03419158215543061,0.23288357610679647,#1B9E77
scvi_leiden_0p7,D430_RLL_7A2_6,14,6141,0.03226840418264936,0.36225814063237377,#D95F02
scvi_leiden_0p7,D430_RLL_7A2_6,15,3448,0.018117807787294413,0.20613379565971185,#7570B3
scvi_leiden_0p7,D430_RLL_7A2_6,16,2377,0.012490147653827964,0.11040921547679873,#E7298A
scvi_leiden_0p7,D430_RLL_7A2_6,17,19258,0.10119279070989438,0.6657217920353983,#66A61E
scvi_leiden_0p7,D430_RLL_7A2_6,18,20500,0.10771898481425043,0.3997503997503998,#E6AB02
scvi_leiden_0p7,D430_RLL_7A2_6,19,13,6.830960012611003e-05,0.20634920634920634,#A6761D
scvi_leiden_0p7,D327_RLL_4A2_6,0,8709,0.050163005287592016,0.2962345658015579,#A6CEE3
scvi_leiden_0p7,D327_RLL_4A2_6,1,18623,0.10726669508219383,0.3798751631853786,#1F78B4
scvi_leiden_0p7,D327_RLL_4A2_6,2,23149,0.13333602128860575,0.40728750637788763,#B2DF8A
scvi_leiden_0p7,D327_RLL_4A2_6,3,18934,0.10905802527445943,0.34343654205437957,#33A02C
scvi_leiden_0p7,D327_RLL_4A2_6,4,6617,0.03811328579492437,0.8012836037781546,#FB9A99
scvi_leiden_0p7,D327_RLL_4A2_6,5,2886,0.01662308339189236,0.10223166843783209,#E31A1C
scvi_leiden_0p7,D327_RLL_4A2_6,6,10602,0.06106650385337588,0.28142170785443155,#FDBF6F
scvi_leiden_0p7,D327_RLL_4A2_6,7,18650,0.10742221249438409,0.36374629427367766,#FF7F00
scvi_leiden_0p7,D327_RLL_4A2_6,8,5570,0.032082666144435355,0.2644824311490978,#CAB2D6
scvi_leiden_0p7,D327_RLL_4A2_6,9,5637,0.03246857972283341,0.2706452851930094,#6A3D9A
scvi_leiden_0p7,D327_RLL_4A2_6,10,5776,0.033269206400405496,0.09904147876335329,#FFFF99
scvi_leiden_0p7,D327_RLL_4A2_6,11,8184,0.04713905560611471,0.2236248872858431,#B15928
scvi_leiden_0p7,D327_RLL_4A2_6,12,1845,0.010627023166334511,0.2668498698293318,#1FF8FF
scvi_leiden_0p7,D327_RLL_4A2_6,13,5213,0.030026380361030794,0.18657170466339787,#1B9E77
scvi_leiden_0p7,D327_RLL_4A2_6,14,7356,0.04236985496561337,0.4339310995752714,#D95F02
scvi_leiden_0p7,D327_RLL_4A2_6,15,4090,0.023558007994746968,0.24451485622048186,#7570B3
scvi_leiden_0p7,D327_RLL_4A2_6,16,6327,0.036442913589917865,0.29388266988712897,#E7298A
scvi_leiden_0p7,D327_RLL_4A2_6,17,7418,0.04272696902323545,0.25642975663716816,#66A61E
scvi_leiden_0p7,D327_RLL_4A2_6,18,8017,0.046177151612197175,0.15633165633165633,#E6AB02
scvi_leiden_0p7,D327_RLL_4A2_6,19,11,6.335894570714343e-05,0.1746031746031746,#A6761D
scvi_leiden_0p7,D194_RLL_5A2_6,0,6340,0.037862500597200324,0.21565359365964828,#A6CEE3
scvi_leiden_0p7,D194_RLL_5A2_6,1,7977,0.047638669915436437,0.16271622062663185,#1F78B4
scvi_leiden_0p7,D194_RLL_5A2_6,2,13496,0.08059815584539679,0.2374509562432922,#B2DF8A
