leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p3,D142_RLL_5B1_8,0,12127,0.13240239322211547,0.10348594103340872,#A6CEE3
scvi_leiden_0p3,D142_RLL_5B1_8,1,7317,0.07988688968468861,0.09100519887564985,#1F78B4
scvi_leiden_0p3,D142_RLL_5B1_8,2,12626,0.1378504672897196,0.17270576005033716,#B2DF8A
scvi_leiden_0p3,D142_RLL_5B1_8,3,8171,0.08921084810900515,0.11457617612003085,#33A02C
scvi_leiden_0p3,D142_RLL_5B1_8,4,11494,0.12549130928465368,0.40560378290634486,#FB9A99
scvi_leiden_0p3,D142_RLL_5B1_8,5,17967,0.1961634203860599,0.2793159735717062,#E31A1C
scvi_leiden_0p3,D142_RLL_5B1_8,6,5313,0.05800724954144467,0.08938274928079945,#FDBF6F
scvi_leiden_0p3,D142_RLL_5B1_8,7,12581,0.13735915800506596,0.11202030095272016,#FF7F00
scvi_leiden_0p3,D142_RLL_5B1_8,8,3978,0.04343174076338545,0.2418678178391196,#CAB2D6
scvi_leiden_0p3,D142_RLL_5B1_8,9,18,0.0001965237138614726,0.19148936170212766,#6A3D9A
scvi_leiden_0p3,D430_RLL_7A2_6,0,30444,0.1599705743260995,0.259794342279302,#A6CEE3
scvi_leiden_0p3,D430_RLL_7A2_6,1,38356,0.2015448478797751,0.4770528096316012,#1F78B4
scvi_leiden_0p3,D430_RLL_7A2_6,2,15904,0.083568913877358,0.21754414761924304,#B2DF8A
scvi_leiden_0p3,D430_RLL_7A2_6,3,21475,0.11284220482370869,0.3011287947837061,#33A02C
scvi_leiden_0p3,D430_RLL_7A2_6,4,6018,0.03162209027376386,0.21236502223163245,#FB9A99
scvi_leiden_0p3,D430_RLL_7A2_6,5,11186,0.058777783616205136,0.17389817333851534,#E31A1C
scvi_leiden_0p3,D430_RLL_7A2_6,6,18661,0.09805580368871841,0.3139415554920005,#FDBF6F
scvi_leiden_0p3,D430_RLL_7A2_6,7,44740,0.23509011612632022,0.3983616774997774,#FF7F00
scvi_leiden_0p3,D430_RLL_7A2_6,8,3503,0.01840680994167411,0.21298717091262845,#CAB2D6
scvi_leiden_0p3,D430_RLL_7A2_6,9,23,0.0001208554463769639,0.24468085106382978,#6A3D9A
scvi_leiden_0p3,D327_RLL_4A2_6,0,43448,0.2502563157349062,0.3707641763024278,#A6CEE3
scvi_leiden_0p3,D327_RLL_4A2_6,1,26295,0.15145667976084878,0.32704410338051293,#1F78B4
scvi_leiden_0p3,D327_RLL_4A2_6,2,21799,0.1255601506790927,0.29817938090743706,#B2DF8A
scvi_leiden_0p3,D327_RLL_4A2_6,3,24609,0.14174548135519024,0.34507466872327,#33A02C
scvi_leiden_0p3,D327_RLL_4A2_6,4,2894,0.016669162625133918,0.10212435598842544,#FB9A99
scvi_leiden_0p3,D327_RLL_4A2_6,5,22814,0.13140645339661547,0.3546677030703459,#E31A1C
scvi_leiden_0p3,D327_RLL_4A2_6,6,15104,0.08699759236006313,0.2541007049006578,#FDBF6F
scvi_leiden_0p3,D327_RLL_4A2_6,7,12372,0.07126153420807078,0.11015938028670644,#FF7F00
scvi_leiden_0p3,D327_RLL_4A2_6,8,4277,0.024635110071768405,0.26004742506232137,#CAB2D6
scvi_leiden_0p3,D327_RLL_4A2_6,9,2,1.1519808310389716e-05,0.02127659574468085,#6A3D9A
scvi_leiden_0p3,D194_RLL_5A2_6,0,31166,0.18612345325115856,0.2659555403848615,#A6CEE3
scvi_leiden_0p3,D194_RLL_5A2_6,1,8434,0.05036787540012422,0.10489788811223602,#1F78B4
scvi_leiden_0p3,D194_RLL_5A2_6,2,22778,0.13603029000047775,0.31157071142298276,#B2DF8A
scvi_leiden_0p3,D194_RLL_5A2_6,3,17060,0.10188237542401223,0.23922036037299305,#33A02C
scvi_leiden_0p3,D194_RLL_5A2_6,4,7932,0.04736992976924179,0.2799068388735973,#FB9A99
scvi_leiden_0p3,D194_RLL_5A2_6,5,12358,0.07380201614829679,0.19211815001943258,#E31A1C
scvi_leiden_0p3,D194_RLL_5A2_6,6,20363,0.12160790215469877,0.34257499032654226,#FDBF6F
scvi_leiden_0p3,D194_RLL_5A2_6,7,42617,0.25450886245282117,0.37945864126079604,#FF7F00
scvi_leiden_0p3,D194_RLL_5A2_6,8,4689,0.02800272323348144,0.28509758618593056,#CAB2D6
scvi_leiden_0p3,D194_RLL_5A2_6,9,51,0.00030457216568725815,0.5425531914893617,#6A3D9A
