leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p1,D142_RLL_5B1_8,0,64115,0.700006550790462,0.15822542712104498,#A6CEE3
scvi_leiden_0p1,D142_RLL_5B1_8,1,15887,0.17345401345095643,0.09685600541374285,#1F78B4
scvi_leiden_0p1,D142_RLL_5B1_8,2,985,0.010754214341863919,0.03593185714806844,#B2DF8A
scvi_leiden_0p1,D142_RLL_5B1_8,3,10605,0.11578522141671761,0.40306335753107064,#33A02C
scvi_leiden_0p1,D430_RLL_7A2_6,0,101103,0.5312542693500079,0.24950581546001732,#A6CEE3
scvi_leiden_0p1,D430_RLL_7A2_6,1,64235,0.3375282433923598,0.39161235650228315,#1F78B4
scvi_leiden_0p1,D430_RLL_7A2_6,2,19177,0.10076716935526246,0.699558603582242,#B2DF8A
scvi_leiden_0p1,D430_RLL_7A2_6,3,5795,0.03045031790236982,0.22025008551556383,#33A02C
scvi_leiden_0p1,D327_RLL_4A2_6,0,136228,0.7846602232538851,0.33618862178656655,#A6CEE3
scvi_leiden_0p1,D327_RLL_4A2_6,1,28472,0.16399599110670798,0.17358117870838338,#1F78B4
scvi_leiden_0p1,D327_RLL_4A2_6,2,6372,0.03670210927690163,0.23244446065735236,#B2DF8A
scvi_leiden_0p1,D327_RLL_4A2_6,3,2542,0.014641676362505327,0.09661358367222835,#33A02C
scvi_leiden_0p1,D194_RLL_5A2_6,0,103767,0.6196968611150925,0.25608013563237114,#A6CEE3
scvi_leiden_0p1,D194_RLL_5A2_6,1,55433,0.3310460560890545,0.3379504593755906,#1F78B4
scvi_leiden_0p1,D194_RLL_5A2_6,2,879,0.005249390855668626,0.03206507861233721,#B2DF8A
scvi_leiden_0p1,D194_RLL_5A2_6,3,7369,0.04400769194018442,0.28007297328113717,#33A02C
