leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p5,D142_RLL_5B1_8,0,2179,0.023790287361341603,0.0919215355410251,#A6CEE3
scvi_leiden_0p5,D142_RLL_5B1_8,1,11741,0.12818805135819722,0.10900971162237943,#1F78B4
scvi_leiden_0p5,D142_RLL_5B1_8,2,6575,0.07178574547995459,0.09758088453547047,#B2DF8A
scvi_leiden_0p5,D142_RLL_5B1_8,3,7847,0.08567342125949864,0.10320247254553824,#33A02C
scvi_leiden_0p5,D142_RLL_5B1_8,4,2531,0.027633417765743733,0.12390463602095265,#FB9A99
scvi_leiden_0p5,D142_RLL_5B1_8,5,6712,0.07328150930212246,0.11720332471886569,#E31A1C
scvi_leiden_0p5,D142_RLL_5B1_8,6,4946,0.05400034937549131,0.13669402758201366,#FDBF6F
scvi_leiden_0p5,D142_RLL_5B1_8,7,9890,0.10797886278277578,0.18249926188367285,#FF7F00
scvi_leiden_0p5,D142_RLL_5B1_8,8,12986,0.14178094156694906,0.28694537740852044,#CAB2D6
scvi_leiden_0p5,D142_RLL_5B1_8,9,7004,0.07646956066031968,0.09033689315379456,#6A3D9A
scvi_leiden_0p5,D142_RLL_5B1_8,10,3061,0.03341994934055376,0.25174767661814296,#FFFF99
scvi_leiden_0p5,D142_RLL_5B1_8,11,11608,0.126735959472443,0.4078277061448196,#B15928
scvi_leiden_0p5,D142_RLL_5B1_8,12,4456,0.04865053716481789,0.271906272882597,#1FF8FF
scvi_leiden_0p5,D142_RLL_5B1_8,13,13,0.0001419337933443969,0.1625,#1B9E77
scvi_leiden_0p5,D142_RLL_5B1_8,14,23,0.00025111363437854836,0.24731182795698925,#D95F02
scvi_leiden_0p5,D142_RLL_5B1_8,15,20,0.0002183596820683029,0.20618556701030927,#7570B3
scvi_leiden_0p5,D430_RLL_7A2_6,0,9415,0.04947191424517892,0.39717359206918373,#A6CEE3
scvi_leiden_0p5,D430_RLL_7A2_6,1,42563,0.22365088539750932,0.39517761313204464,#1F78B4
scvi_leiden_0p5,D430_RLL_7A2_6,2,20019,0.10519152960958436,0.2971059661620659,#B2DF8A
scvi_leiden_0p5,D430_RLL_7A2_6,3,18009,0.09462981451316274,0.23685144999013613,#33A02C
scvi_leiden_0p5,D430_RLL_7A2_6,4,8404,0.04415952918921759,0.4114162627894453,#FB9A99
scvi_leiden_0p5,D430_RLL_7A2_6,5,15055,0.0791077715306605,0.26288677795627574,#E31A1C
scvi_leiden_0p5,D430_RLL_7A2_6,6,11166,0.05867269192370343,0.3085979603681287,#FDBF6F
scvi_leiden_0p5,D430_RLL_7A2_6,7,12108,0.06362251064053387,0.22342781222320637,#FF7F00
scvi_leiden_0p5,D430_RLL_7A2_6,8,6976,0.03665598234459566,0.15414530669966414,#CAB2D6
scvi_leiden_0p5,D430_RLL_7A2_6,9,36441,0.1914823183227366,0.47001238198421297,#6A3D9A
scvi_leiden_0p5,D430_RLL_7A2_6,10,731,0.003841101360937418,0.06012007566411712,#FFFF99
scvi_leiden_0p5,D430_RLL_7A2_6,11,6010,0.03158005359676318,0.2111513192565787,#B15928
scvi_leiden_0p5,D430_RLL_7A2_6,12,3359,0.017650149755661815,0.204967049060288,#1FF8FF
scvi_leiden_0p5,D430_RLL_7A2_6,13,14,7.356418475119542e-05,0.175,#1B9E77
scvi_leiden_0p5,D430_RLL_7A2_6,14,17,8.932793862645158e-05,0.1827956989247312,#D95F02
scvi_leiden_0p5,D430_RLL_7A2_6,15,23,0.0001208554463769639,0.23711340206185566,#7570B3
scvi_leiden_0p5,D327_RLL_4A2_6,0,8126,0.04680498116511341,0.3427968782957182,#A6CEE3
scvi_leiden_0p5,D327_RLL_4A2_6,1,12063,0.06948172382411556,0.1119993315135647,#1F78B4
scvi_leiden_0p5,D327_RLL_4A2_6,2,15602,0.08986602462935017,0.2315523894330662,#B2DF8A
scvi_leiden_0p5,D327_RLL_4A2_6,3,29355,0.16908198647574504,0.38607220359045175,#33A02C
scvi_leiden_0p5,D327_RLL_4A2_6,4,5290,0.030469892980980795,0.2589709697948793,#FB9A99
scvi_leiden_0p5,D327_RLL_4A2_6,5,20845,0.12006520211503681,0.36399036110917093,#E31A1C
scvi_leiden_0p5,D327_RLL_4A2_6,6,8290,0.04774960544656537,0.22911311942072243,#FDBF6F
scvi_leiden_0p5,D327_RLL_4A2_6,7,17107,0.09853468038291843,0.3156739002066726,#FF7F00
scvi_leiden_0p5,D327_RLL_4A2_6,8,15615,0.0899409033833677,0.34503712214954924,#CAB2D6
scvi_leiden_0p5,D327_RLL_4A2_6,9,27522,0.15852408215927288,0.35497600990558736,#6A3D9A
scvi_leiden_0p5,D327_RLL_4A2_6,10,6841,0.03940350432568802,0.5626285056336869,#FFFF99
scvi_leiden_0p5,D327_RLL_4A2_6,11,2899,0.016697962145909892,0.10185152654323157,#B15928
scvi_leiden_0p5,D327_RLL_4A2_6,12,4013,0.023114495374796963,0.24487429826702464,#1FF8FF
scvi_leiden_0p5,D327_RLL_4A2_6,13,14,8.063865817272801e-05,0.175,#1B9E77
scvi_leiden_0p5,D327_RLL_4A2_6,14,30,0.00017279712465584574,0.3225806451612903,#D95F02
scvi_leiden_0p5,D327_RLL_4A2_6,15,2,1.1519808310389716e-05,0.020618556701030927,#7570B3
scvi_leiden_0p5,D194_RLL_5A2_6,0,3985,0.023798432946347522,0.16810799409407298,#A6CEE3
scvi_leiden_0p5,D194_RLL_5A2_6,1,41339,0.2468766423008934,0.3838133437320112,#1F78B4
scvi_leiden_0p5,D194_RLL_5A2_6,2,25184,0.15039892981701783,0.37376075986939744,#B2DF8A
scvi_leiden_0p5,D194_RLL_5A2_6,3,20824,0.12436099565238164,0.27387387387387385,#33A02C
scvi_leiden_0p5,D194_RLL_5A2_6,4,4202,0.025094357651330564,0.20570813139472266,#FB9A99
scvi_leiden_0p5,D194_RLL_5A2_6,5,14656,0.0875256796139697,0.25591953621568764,#E31A1C
scvi_leiden_0p5,D194_RLL_5A2_6,6,11781,0.07035617027375662,0.3255948926291352,#FDBF6F
scvi_leiden_0p5,D194_RLL_5A2_6,7,15087,0.09009961301418948,0.2783990256864482,#FF7F00
scvi_leiden_0p5,D194_RLL_5A2_6,8,9679,0.05780301944484258,0.2138721937422662,#CAB2D6
scvi_leiden_0p5,D194_RLL_5A2_6,9,6565,0.03920620132817352,0.08467471495640509,#6A3D9A
scvi_leiden_0p5,D194_RLL_5A2_6,10,1526,0.009113276957622665,0.12550374208405296,#FFFF99
scvi_leiden_0p5,D194_RLL_5A2_6,11,7946,0.04745353781472457,0.27916944805537014,#B15928
scvi_leiden_0p5,D194_RLL_5A2_6,12,4560,0.02723233481439014,0.2782523797900903,#1FF8FF
scvi_leiden_0p5,D194_RLL_5A2_6,13,39,0.00023290812670202093,0.4875,#1B9E77
scvi_leiden_0p5,D194_RLL_5A2_6,14,23,0.00013735607472170464,0.24731182795698925,#D95F02
scvi_leiden_0p5,D194_RLL_5A2_6,15,52,0.00031054416893602793,0.5360824742268041,#7570B3
