group,names,scores,logfoldchanges,pvals,pvals_adj
8,CMA1,0.058203403,1.5883904,0.9535866092855474,0.9990280404479022
8,CDON,0.054865465,1.116464,0.9562456449015908,0.9990280404479022
8,KCNAB1,0.046581227,0.9805019,0.9628469946717114,0.9990280404479022
8,LILRB5,0.04633356,0.72118616,0.9630443913158446,0.9990280404479022
8,HOXD4,0.044618376,1.3436615,0.964411495622881,0.9990280404479022
8,PDIA2,0.040575553,1.2591548,0.9676342748360072,0.9990280404479022
8,TMEM59L,0.04049056,0.97083795,0.9677020322829791,0.9990280404479022
8,SLC7A3,0.038480792,1.8465637,0.9693043469795345,0.9990280404479022
8,CLEC4G,0.035870362,1.0476261,0.9713857294542154,0.9990280404479022
8,CCN3,0.034883432,0.6165948,0.972172690891946,0.9990280404479022
8,LHX9,0.034590915,1.617991,0.9724059452827558,0.9990280404479022
8,C1QL1,0.033111297,1.1651672,0.9735858355094653,0.9990280404479022
8,RTL3,0.032811735,1.3417989,0.9738247197713892,0.9990280404479022
8,ALDH1A3,0.031106014,1.0006816,0.9751849931927452,0.9990280404479022
8,SCG5,0.027843516,0.9623924,0.9777869586299147,0.9990280404479022
8,ARHGEF4,0.027515039,0.9295859,0.9780489449360563,0.9990280404479022
8,ZNF843,0.025835551,0.85877347,0.9793885061197943,0.9990280404479022
8,CABP1,0.024877101,1.2747538,0.9801529929276784,0.9990280404479022
8,UCMA,0.022947304,0.79722726,0.981692307431243,0.9990280404479022
8,UBE2QL1,0.022076882,0.65565354,0.982386627803771,0.9990280404479022
8,TCF23,0.020005316,1.739312,0.9840391320852728,0.9990280404479022
8,TTYH1,0.019478643,1.0871423,0.9844592738728777,0.9990280404479022
8,DRP2,0.018220458,1.0341907,0.9854629826565572,0.9990280404479022
8,KLF14,0.017639164,1.2594434,0.9859267133920022,0.9990280404479022
8,GFRA3,0.017562535,0.9862274,0.9859878446057416,0.9990280404479022
8,DEPRECATED_CDRT15,0.013749817,1.2000109,0.9890295789123923,0.9990280404479022
8,ACER1,0.0127836205,1.1525759,0.9898004244730338,0.9990280404479022
8,CYP4A22,0.011942644,1.6713547,0.9904713754941106,0.9990280404479022
8,KRTAP12-3,0.008608579,0.79402435,0.9931314330005048,0.9990280404479022
8,CADM3,0.007972223,0.95676637,0.9936391536255695,0.9990280404479022
8,DEPRECATED_PIMREG,0.0076415455,1.444723,0.9939029881772257,0.9990280404479022
8,DEPRECATED_FUT6,0.007360648,1.7584072,0.9941271058468274,0.9990280404479022
8,BHLHE23,0.0069430424,0.73369586,0.9944602982444761,0.9990280404479022
8,SPTBN4,0.0058498653,0.80767524,0.995332509624686,0.9990280404479022
8,PAX4,0.005693923,1.9883752,0.9954569311254129,0.9990280404479022
8,HPD,0.004739478,0.83630836,0.9962184576209866,0.9990280404479022
8,WIPF3,0.0045742933,0.14048892,0.9963502545747233,0.9990280404479022
8,TBX18,0.0044586686,0.80314964,0.9964425089900275,0.9990280404479022
8,COMP,0.0043114414,0.7439955,0.9965599780420242,0.9990280404479022
8,NLRP7,0.0031974455,1.163747,0.9974488118792024,0.9990280404479022
8,EXTL1,0.0030773312,0.80009806,0.9975446488141407,0.9990280404479022
8,DIRAS2,0.0029303683,1.174755,0.9976619077576653,0.9990280404479022
8,HTR7,0.0026907558,0.6645535,0.9978530901614703,0.9990280404479022
8,NPPC,0.002372006,1.099562,0.9981074149223521,0.9990280404479022
8,VCX3A,0.002360122,1.5760962,0.9981168967938692,0.9990280404479022
8,NKX3-2,0.0022249108,0.59713787,0.9982247794393072,0.9990280404479022
8,TCEAL6,0.0022198493,0.8300596,0.9982288180155439,0.9990280404479022
8,DEPRECATED_OR5M10,0.0019425607,0.98597276,0.9984500618237071,0.9990494915186183
8,PRH2,0.00069322146,1.5718659,0.9994468893242457,0.9994468893242457
8,MSLNL,-0.00083450665,0.57886297,0.9993341601247593,0.9994468893242457
8,ALX4,-0.0012477107,0.8340053,0.9990044711984876,0.9994042328916442
8,DEPRECATED_KRTAP4-1,-0.00222271,-13.043593,0.9982265353420132,0.9990280404479022
8,APCDD1L,-0.0023585376,1.0078619,0.9981181610434249,0.9990280404479022
8,DISP3,-0.0023625868,0.50383306,0.9981149301834585,0.9990280404479022
8,CACNA1B,-0.0024827453,0.7759014,0.9980190579400592,0.9990280404479022
8,CDH22,-0.0025022435,0.40066713,0.9980035006519411,0.9990280404479022
8,LGALS7,-0.0027783876,-13.091412,0.9977831702042768,0.9990280404479022
8,GCGR,-0.0030562484,1.0248015,0.9975614703245533,0.9990280404479022
8,SLC8A2,-0.0030564244,0.75680405,0.9975613298526456,0.9990280404479022
8,H2AB1,-0.0031962132,0.7260168,0.9974497951821246,0.9990280404479022
8,DLEU7,-0.0031964772,0.552531,0.9974495844743553,0.9990280404479022
8,OMP,-0.003477023,0.05603971,0.9972257426907565,0.9990280404479022
8,C8orf90,-0.0037521988,0.20547189,0.9970061855085005,0.9990280404479022
