cluster,color_hex,n_cells
0,#A6CEE3,29399
1,#1F78B4,49024
2,#B2DF8A,56837
3,#33A02C,55131
4,#FB9A99,8258
5,#E31A1C,28230
6,#FDBF6F,37673
7,#FF7F00,51272
8,#CAB2D6,21060
9,#6A3D9A,20828
10,#FFFF99,58319
11,#B15928,36597
12,#1FF8FF,6914
13,#1B9E77,27941
14,#D95F02,16952
15,#7570B3,16727
16,#E7298A,21529
17,#66A61E,28928
18,#E6AB02,51282
19,#A6761D,63
