cluster,color_hex,n_cells
0,#A6CEE3,24728
1,#1F78B4,21881
2,#B2DF8A,39874
3,#33A02C,28741
4,#FB9A99,24137
5,#E31A1C,20172
6,#FDBF6F,24615
7,#FF7F00,37582
8,#CAB2D6,33225
9,#6A3D9A,27071
10,#FFFF99,29028
11,#B15928,23782
12,#1FF8FF,51391
13,#1B9E77,37886
14,#D95F02,21663
15,#7570B3,38668
16,#E7298A,39430
17,#66A61E,22513
18,#E6AB02,30172
19,#A6761D,16927
20,#666666,24997
21,#4B6A53,4313
22,#B249D5,105
23,#7EDC45,63
