cluster,color_hex,n_cells
0,#A6CEE3,52625
1,#1F78B4,29419
2,#B2DF8A,23674
3,#33A02C,45773
4,#FB9A99,35933
5,#E31A1C,19138
6,#FDBF6F,32186
7,#FF7F00,24371
8,#CAB2D6,32098
9,#6A3D9A,27179
10,#FFFF99,49256
11,#B15928,28494
12,#1FF8FF,27724
13,#1B9E77,35805
14,#D95F02,21561
15,#7570B3,31704
16,#E7298A,35468
17,#66A61E,16435
18,#E6AB02,53952
19,#A6761D,106
20,#666666,63
