cluster,color_hex,n_cells
0,#A6CEE3,20134
1,#1F78B4,29663
2,#B2DF8A,22173
3,#33A02C,48174
4,#FB9A99,46558
5,#E31A1C,20103
6,#FDBF6F,34906
7,#FF7F00,50548
8,#CAB2D6,13396
9,#6A3D9A,15566
10,#FFFF99,9244
11,#B15928,33904
12,#1FF8FF,8048
13,#1B9E77,36591
14,#D95F02,5969
15,#7570B3,22516
16,#E7298A,25967
17,#66A61E,20737
18,#E6AB02,8782
19,#A6761D,21005
20,#666666,16254
21,#4B6A53,12822
22,#B249D5,31452
23,#7EDC45,16971
24,#5C47B8,4080
25,#CFD251,25645
26,#FF69B4,21593
27,#69C86C,100
28,#CD3E50,63
