cluster,color_hex,n_cells
0,#A6CEE3,23705
1,#1F78B4,107706
2,#B2DF8A,67380
3,#33A02C,76035
4,#FB9A99,20427
5,#E31A1C,57268
6,#FDBF6F,36183
7,#FF7F00,54192
8,#CAB2D6,45256
9,#6A3D9A,77532
10,#FFFF99,12159
11,#B15928,28463
12,#1FF8FF,16388
13,#1B9E77,80
14,#D95F02,93
15,#7570B3,97
