cluster,color_hex,n_cells
0,#A6CEE3,117185
1,#1F78B4,80402
2,#B2DF8A,73107
3,#33A02C,71315
4,#FB9A99,28338
5,#E31A1C,64325
6,#FDBF6F,59441
7,#FF7F00,112310
8,#CAB2D6,16447
9,#6A3D9A,94
