cluster,color_hex,n_cells
0,#A6CEE3,21089
1,#1F78B4,84440
2,#B2DF8A,61878
3,#33A02C,55710
4,#FB9A99,97417
5,#E31A1C,80815
6,#FDBF6F,114574
7,#FF7F00,28521
8,#CAB2D6,61457
9,#6A3D9A,16969
10,#FFFF99,94
