cluster,color_hex,n_cells
0,#A6CEE3,213827
1,#1F78B4,123508
2,#B2DF8A,130966
3,#33A02C,92160
4,#FB9A99,20209
5,#E31A1C,25237
6,#FDBF6F,16963
7,#FF7F00,94
